stt,name,rarity,path,image_file,s1,s2,s3,s4,s5
82,Phòng Thủ,3,Preservation,phong_thu.png,0,0,0,0,0
83,Mở Rộng,3,Preservation,mo_rong.png,0,0,0,0,0
84,Hổ Phách,3,Preservation,ho_phach.png,0,0,0,0,0
85,Bóng Ẩn,3,Nihility,bong_an.png,0,0,0,0,0
86,Xoáy Ốc,3,Nihility,xoay_oc.png,0,0,0,0,0
87,Tĩnh Mịch,3,Nihility,tinh_mich.png,0,0,0,0,0
88,Luân Hồi,3,Harmony,luan_hoi.png,0,0,0,0,0
89,Điệp Khúc,3,Harmony,diep_khuc.png,0,0,0,0,0
90,Khoảnh Khắc Nơi Đáy Mắt,5,Erudition,khoanh_khac_noi_day_mat.png,0.5,0,0,0,0
91,"Phiền Não, Hạnh Phúc",5,Hunt,phien_nao_hanh_phuc.png,1,0,0,0,0
92,Thân Này Là Kiếm,5,Destruction,than_nay_la_kiem.png,1,0,0,0,0
93,Một Mình Chữa Trị,5,Nihility,mot_minh_chua_tri.png,0,0,0,0,0
94,Hài Hoà,3,Harmony,hai_hoa.png,0,0,0,0,0
95,Thông Tuệ,3,Erudition,thong_tue.png,0,0,0,0,0
96,Chìa Khoá Linh Hồn,3,Erudition,chia_khoa_linh_hon.png,0,0,0,0,0
97,Kho Lưu Trữ,3,Erudition,kho_luu_tru.png,0,0,0,0,0
98,Đối Kháng,3,Hunt,doi_khang.png,0,0,0,0,0
99,Tên Bắn,3,Hunt,ten_ban.png,0,0,0,0,0
100,Mũi Tên,3,Hunt,mui_ten.png,0,0,0,0,0
101,Huỷ Diệt Tất Cả,3,Destruction,huy_diet_tat_ca.png,0,0,0,0,0
102,Đổ Nát,3,Destruction,do_nat.png,0,0,0,0,0
103,Trời Sập,3,Destruction,troi_sap.png,0,0,0,0,0
104,Quá Khứ Tương Lai,4,Harmony,qua_khu_tuong_lai.png,0,0,0,0,0
105,Múa! Múa! Múa!,4,Harmony,mua_mua_mua.png,0,0,0,0,0
106,Hôm Nay Là Ngày Yên Lành,4,Erudition,hom_nay_la_ngay_yen_lanh.png,0,0,0,0,0
107,Không Nơi Ẩn Náu,4,Destruction,khong_noi_an_nau.png,0,0,0,0,0
108,Khắc Lên Ánh Trăng,4,Harmony,khac_len_anh_trang.png,0,0,0,0,0
109,U Tối Trở Lại,4,Hunt,u_toi_tro_lai.png,0,0,0,0,0
110,Đó Chính Là Tôi!,4,Preservation,do_chinh_la_toi.png,0,0,0,0,0
111,Hẹn Gặp Lại,4,Nihility,hen_gap_lai.png,0,0,0,0,0
112,Bữa Sáng Đúng Điệu,4,Erudition,bua_sang_dung_dieu.png,0,0,0,0,0
113,Gâu! Thời Gian Tản Bộ,4,Destruction,gau_thoi_gian_tan_bo.png,0,0,0,0,0
114,Ký Hiệu Kéo Dài,4,Nihility,ky_hieu_keo_dai.png,0,0,0,0,0
115,Làn Nước Xuân Xuất Hiện,4,Hunt,lan_nuoc_xuan_xuat_hien.png,0,0,0,0,0
116,Chúng Ta Là Lửa Ngầm,4,Abundance,chung_ta_la_lua_ngam.png,0,0,0,0,0
117,Sự Nghỉ Ngơi Của Thiên Tài,4,Erudition,su_nghi_ngoi_cua_thien_tai.png,0,0,0,0,0
118,Dưới Bầu Trời Xanh,4,Destruction,duoi_bau_troi_xanh.png,0,0,0,0,0
119,Đừng Để Thế Giới Lạnh Lẽo,4,Erudition,dung_de_the_gioi_lanh_leo.png,0,0,0,0,0
120,Đêm Ấm Sẽ Chóng Qua,4,Abundance,dem_am_se_chong_qua.png,0,0,0,0,0
121,Đổi Ngang Giá,4,Abundance,doi_ngang_gia.png,0,0,0,0,0
122,Hãy Theo Dõi Nào!,4,Hunt,hay_theo_doi_nao.png,0,0,0,0,0
123,Xu Hướng Thị Trường Vũ Trụ,4,Preservation,xu_huong_thi_truong_vu_tru.png,0,0,0,0,0
124,Sự Quyết Tâm Như Giọt Mồ Hôi Lấp Lánh,4,Nihility,su_quyet_tam_nhu_giot_mo_hoi_lap_lanh.png,0,0,0,0,0
125,Vừa Đúng Lúc,3,Abundance,vua_dung_luc.png,0,0,0,0,0
126,Lời Thề Bí Mật,4,Destruction,loi_the_bi_mat.png,0,0,0,0,0
127,Điểm Hẹn Hành Tinh,4,Harmony,diem_hen_hanh_tinh.png,0,0,0,0,0
128,Luận Kiếm,4,Hunt,luan_kiem.png,0,0,0,0,0
129,Sự Lựa chọn Của Landau,4,Preservation,su_lua_chon_cua_landau.png,0,0,0,0,0
130,Tầm Mắt Của Con Mồi,4,Nihility,tam_mat_cua_con_moi.png,0,0,0,0,0
131,Cùng Một Tâm Trạng,4,Abundance,cung_mot_tam_trang.png,0,0,0,0,0
132,Sự Ra Đời Của Tôi,4,Erudition,su_ra_doi_cua_toi.png,0,0,0,0,0
133,Băng Chuột Chũi Hoan Nghênh,4,Destruction,bang_chuot_chui_hoan_nghenh.png,0,0,0,0,0
134,Dáng Hình Trong Ký Ức,4,Harmony,dang_hinh_trong_ky_uc.png,0,0,0,0,0
135,Ngày Đầu Tiên,4,Preservation,ngay_dau_tien.png,0,0,0,0,0
136,Sự Trầm Mặc Duy Nhất,4,Hunt,su_tram_mac_duy_nhat.png,0,0,0,0,0
137,Chúc Ngủ Ngon,4,Nihility,chuc_ngu_ngon.png,0,0,0,0,0
138,Buổi Trò Chuyện Hậu Phẫu,4,Abundance,buoi_tro_chuyen_hau_phau.png,0,0,0,0,0
139,Chất Liệu Ký Ức,5,Preservation,chat_lieu_ky_uc.png,0,0,0,0,0
140,Du Hành Trên Biển Sao,5,Hunt,du_hanh_tren_bien_sao.png,0,0,0,0,0
141,Sự Sụp Đổ Của Aeon,5,Destruction,su_sup_do_cua_aeon.png,0,0,0,0,0
142,Thời Gian Không Ngừng Lại,5,Abundance,thoi_gian_khong_ngung_lai.png,0,0,0,0,0
143,Giấc Ngủ Say Mềm,5,Hunt,giac_ngu_say_mem.png,0,0,0,0,0
144,Trước Buổi Bình Minh,5,Erudition,truoc_buoi_binh_minh.png,0.5,0,0,0,0
145,Giây Phút Thắng Lợi,5,Preservation,giay_phut_thang_loi.png,0,0.5,1,1.5,2
146,Nhân Danh Thế Giới,5,Nihility,nhan_danh_the_gioi.png,0,0.5,1,1.5,2
147,Cuộc Chiến Chưa Nguôi,5,Harmony,cuoc_chien_chua_nguoi.png,0,0.5,1,1.5,2
148,Vật Không Thể Thay Thế,5,Destruction,vat_khong_the_thay_the.png,0,0.5,1,1.5,2
149,Trong Đêm Tối,5,Hunt,trong_dem_toi.png,0,0.5,1,1.5,2
150,Chuyến Tàu Đêm Trên Dải Ngân Hà,5,Erudition,chuyen_tau_dem_tren_dai_ngan_ha.png,0,0.5,1,1.5,2
151,Kinh Doanh Tầm Cỡ Vũ Trụ,4,Erudition,kinh_doanh_tam_co_vu_tru.png,0,0,0,0,0
